time,name,x,y,z
1625126244.1764216,c8a9,2.63,4.78,1.0
1625126244.2445335,c8a9,2.65,4.76,1.0
1625126244.345595,c8a9,2.62,4.83,1.0
1625126244.480203,c8a9,2.61,4.76,1.0
1625126244.5580313,c8a9,2.63,4.7,1.0
1625126244.5990791,552,2.29,4.39,1.0
1625126244.6543365,c8a9,2.62,4.65,1.0
1625126244.8556337,c8a9,2.61,4.76,1.0
1625126244.9561222,c8a9,2.63,4.74,1.0
1625126245.080736,c8a9,2.6,4.77,1.0
1625126245.152868,c8a9,2.63,4.79,1.0
1625126245.2539396,c8a9,2.66,4.73,1.0
1625126245.3773527,c8a9,2.61,4.72,1.0
1625126245.469151,c8a9,2.55,4.81,1.0
1625126245.5751565,c8a9,2.6,4.75,1.0
1625126245.6791673,c8a9,2.6,4.74,1.0
1625126245.7637167,c8a9,2.65,4.75,1.0
1625126245.869366,c8a9,2.6,4.73,1.0
1625126245.9796011,c8a9,2.69,4.68,1.0
1625126246.075068,c8a9,2.65,4.69,1.0
1625126246.1662073,c8a9,2.65,4.71,1.0
1625126246.2097409,c8a9,2.65,4.78,1.0
1625126246.545577,c50,6.64,4.15,1.0
1625126248.9404128,c58a,1.0,5.19,1.0
1625126249.2876554,c8a9,2.63,4.73,1.0
1625126249.3965018,c8a9,2.64,4.67,1.0
1625126249.4976819,c8a9,2.66,4.84,1.0
1625126249.5988803,c8a9,2.67,4.88,1.0
1625126249.644707,552,2.32,4.71,1.0
1625126249.6854978,c8a9,2.63,4.79,1.0
1625126249.775918,c8a9,2.63,4.82,1.0
1625126249.8789647,c8a9,2.62,4.76,1.0
1625126249.9627862,c8a9,2.62,4.82,1.0
1625126250.0653555,c8a9,2.65,4.71,1.0
1625126250.179267,c8a9,2.63,4.93,1.0
1625126250.2626293,c8a9,2.65,4.72,1.0
1625126250.364202,c8a9,2.63,4.83,1.0
1625126250.4801407,c8a9,2.62,4.88,1.0
1625126250.5574317,c8a9,2.62,4.86,1.0
1625126250.6531048,c8a9,2.6,4.77,1.0
1625126250.7786486,c8a9,2.67,4.85,1.0
1625126250.8533425,c8a9,2.62,4.7,1.0
1625126250.9580665,c8a9,2.64,4.77,1.0
1625126251.078346,c8a9,2.62,4.65,1.0
1625126251.1578774,c8a9,2.66,4.72,1.0
1625126251.2114708,c50,6.83,4.76,1.0
1625126251.2575629,c8a9,2.67,4.73,1.0
1625126251.3785417,c8a9,2.63,4.8,1.0
1625126251.4355752,552,2.29,4.57,1.0
1625126251.477672,c8a9,2.63,4.8,1.0
1625126251.556717,552,2.27,4.58,1.0
1625126251.559708,c8a9,2.7,4.74,1.0
1625126251.6428347,552,2.33,4.57,1.0
1625126251.678841,c8a9,2.63,4.79,1.0
1625126251.7456892,552,2.32,4.52,1.0
1625126251.748681,c8a9,2.66,4.66,1.0
